,lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,room_type_reserved,type_of_meal_plan,booking_status
9824,1,1,125.0,3,30,4,1,0,3,0,1
9825,231,1,90.95,8,21,4,2,2,0,0,1
9826,13,2,102.33,9,7,4,2,1,0,3,1
9827,125,0,79.2,11,17,4,3,0,0,3,0
9828,18,0,107.0,12,6,4,0,2,0,0,1
9829,1,0,202.0,12,10,4,1,0,5,0,1
9830,120,0,131.33,12,23,4,5,2,3,1,1
9831,32,0,65.55,12,27,4,2,2,3,0,1
9832,28,1,97.63,4,17,4,1,2,0,0,0
9833,41,1,249.63,10,15,4,5,2,6,0,1
9834,12,1,87.0,1,8,4,2,1,0,0,1
9835,83,2,159.3,8,8,4,2,1,3,0,1
9836,30,1,97.92,10,5,4,4,1,0,0,0
9837,125,1,128.69,6,17,4,3,2,3,0,1
9838,16,2,117.0,10,1,4,2,0,0,0,1
9839,138,0,47.25,8,22,3,1,2,0,1,1
9840,91,0,85.5,4,25,4,2,1,0,3,0
9841,73,1,149.4,6,16,4,3,0,3,0,1
9842,13,2,123.67,9,30,3,3,0,0,1,1
9843,1,2,168.0,6,18,4,1,0,0,0,1
9844,41,0,89.0,5,24,2,1,0,0,0,0
9845,46,0,107.1,4,4,4,1,1,0,3,0
9846,148,0,127.8,8,21,4,2,2,3,0,1
9847,58,0,116.1,5,17,4,3,0,0,3,0
9848,53,1,117.9,6,19,4,1,2,0,0,1
9849,3,0,75.0,5,2,2,0,1,0,0,1
9850,50,0,159.6,8,22,4,6,3,3,0,0
9851,9,2,95.0,9,10,4,1,0,0,0,1
9852,0,1,135.0,12,31,4,2,0,0,0,1
9853,119,0,101.0,3,29,3,2,0,0,0,1
9854,11,0,136.0,10,23,4,1,0,3,0,1
9855,31,1,111.6,10,2,4,1,0,0,0,0
9856,2,2,148.37,3,28,4,2,1,5,0,1
9857,23,2,188.0,12,30,4,1,0,3,0,1
9858,155,0,161.1,9,1,4,3,2,0,1,0
9859,41,1,87.09,4,22,4,5,2,3,0,1
9860,0,0,0.0,5,31,1,1,0,0,0,1
9861,79,0,87.3,3,4,4,2,0,3,0,0
9862,16,1,152.67,6,2,4,3,0,3,0,1
9863,14,1,210.0,9,1,4,3,1,5,0,1
9864,28,2,156.0,5,20,4,1,0,3,0,1
9865,33,2,141.3,6,27,4,1,1,3,0,1
9866,10,1,85.0,9,5,3,1,0,0,0,1
9867,22,0,73.15,9,4,4,3,2,0,0,1
9868,1,0,95.0,5,25,0,1,0,0,0,0
9869,55,1,113.4,11,11,4,2,0,0,0,0
9870,22,0,65.75,1,9,4,1,2,0,3,1
9871,98,0,50.33,2,25,3,4,2,0,0,1
9872,29,2,212.0,9,24,4,2,0,5,0,1
9873,116,1,111.92,5,12,4,3,2,0,0,1
9874,61,1,89.75,4,30,3,1,1,0,0,1
9875,6,0,58.0,12,6,3,2,2,0,0,1
9876,0,0,79.0,7,5,2,1,0,0,0,1
9877,9,0,111.0,11,25,4,1,0,0,0,1
9878,46,0,112.5,3,18,4,2,0,3,0,0
9879,0,0,89.0,7,29,4,1,0,0,3,1
9880,11,0,91.5,12,2,4,2,0,0,3,1
9881,24,0,96.0,2,3,4,3,0,0,0,0
9882,12,0,100.87,5,30,4,2,1,0,0,0
9883,84,1,117.9,8,15,4,0,1,0,0,1
9884,10,1,91.0,6,23,4,1,0,0,0,1
9885,73,1,107.95,4,7,4,3,1,3,0,1
9886,14,0,85.0,7,23,3,4,2,0,0,1
9887,196,0,99.45,8,22,4,5,1,0,0,0
9888,60,1,99.9,6,21,4,3,0,0,0,1
9889,139,1,98.87,8,23,4,5,2,0,0,1
9890,0,2,106.0,8,19,4,1,0,0,0,1
9891,45,0,147.6,11,7,4,2,1,0,0,1
9892,114,0,128.7,8,27,4,1,0,0,0,0
9893,172,0,95.0,6,24,4,2,0,0,0,0
9894,13,2,169.5,5,5,4,3,1,3,0,1
9895,147,2,89.75,9,16,3,2,1,0,0,1
9896,108,0,153.9,5,27,3,2,2,4,0,1
9897,51,0,75.0,11,9,3,3,0,0,0,1
9898,53,0,109.1,6,21,4,2,0,0,0,1
9899,57,2,228.6,9,26,4,1,1,3,1,1
9900,193,1,108.9,9,3,4,1,0,0,0,0
9901,152,2,140.7,8,4,4,3,0,0,0,0
9902,69,2,95.85,10,30,4,2,2,0,0,1
9903,0,0,105.0,11,25,3,2,2,0,1,0
9904,189,1,112.5,7,10,4,0,2,0,3,0
9905,28,2,147.0,6,21,4,1,0,3,0,1
9906,195,2,108.9,10,2,4,1,2,0,0,0
9907,240,0,159.3,9,30,4,2,0,3,0,0
9908,40,1,117.9,6,30,4,3,2,0,0,1
9909,157,1,76.5,8,14,4,1,0,0,0,1
9910,46,2,125.1,8,17,4,1,0,0,3,1
9911,54,0,80.3,2,26,4,2,0,0,0,1
9912,162,0,35.0,9,17,3,3,0,0,0,1
9913,16,2,111.35,5,29,4,2,2,3,0,1
9914,3,3,106.0,8,20,4,1,0,0,0,1
9915,22,0,102.88,12,4,4,2,2,1,0,1
9916,133,0,118.15,5,27,4,2,2,3,0,0
9917,71,2,151.2,10,16,4,0,1,3,0,1
9918,42,0,75.56,2,18,4,3,2,0,0,0
9919,57,1,119.85,5,11,4,4,1,0,0,1
9920,192,0,164.63,10,28,4,3,2,5,0,0
9921,64,0,46.4,3,12,3,3,2,0,0,1
9922,71,3,150.98,9,1,4,6,2,0,0,1
9923,26,2,172.0,3,26,4,2,2,0,0,1
9924,4,1,249.0,9,8,4,3,0,5,0,1
9925,39,0,192.95,12,28,4,4,0,0,1,1
9926,9,0,123.33,6,12,4,1,2,0,0,0
9927,9,1,124.0,5,18,4,1,0,0,3,1
9928,179,1,77.56,8,31,4,3,1,0,0,1
9929,54,1,88.4,11,17,4,3,2,0,0,0
9930,168,1,99.87,8,20,4,2,2,3,0,1
9931,64,1,89.3,3,10,4,3,0,3,0,1
9932,34,2,117.0,9,25,4,1,2,0,0,1
9933,8,0,59.16,1,8,4,3,2,0,0,1
9934,4,0,110.0,9,11,0,1,2,3,0,1
9935,0,0,114.0,3,28,4,4,1,0,0,1
9936,48,1,149.4,8,24,4,4,0,3,0,1
9937,55,0,74.88,11,23,4,1,0,0,0,1
9938,67,0,72.25,7,23,3,1,1,0,0,1
9939,6,1,121.0,11,16,4,1,0,3,0,1
9940,1,0,115.0,8,4,4,1,0,0,0,1
9941,21,0,67.0,11,21,2,0,1,0,0,1
9942,1,1,87.0,12,12,4,1,1,0,3,1
9943,80,0,173.19,4,24,4,2,2,5,1,0
9944,40,2,85.5,9,13,4,3,2,0,0,1
9945,8,0,159.5,8,13,4,1,1,0,0,1
9946,78,1,116.1,5,7,4,1,0,0,3,1
9947,39,2,98.94,2,8,3,1,1,0,0,1
9948,50,1,74.8,11,20,4,5,2,0,3,0
9949,21,1,86.0,3,5,4,1,1,0,3,1
9950,126,0,103.5,5,7,4,1,0,0,3,0
9951,42,0,72.76,4,26,3,3,0,0,0,1
9952,103,0,149.4,9,8,4,3,0,3,0,0
9953,37,2,105.3,10,22,4,2,0,3,0,1
9954,0,0,80.0,2,19,2,1,0,0,0,1
9955,202,0,90.0,5,29,4,1,2,0,0,0
9956,231,2,96.9,8,23,3,5,2,0,0,1
9957,247,0,90.0,6,6,3,1,1,0,1,1
9958,18,1,140.9,6,2,4,3,1,3,0,1
9959,39,2,74.8,12,27,4,1,0,0,3,1
9960,3,0,110.21,5,2,3,2,1,0,0,1
9961,1,0,109.0,2,9,4,1,0,0,0,1
9962,53,1,75.6,4,2,4,1,0,0,3,1
9963,112,0,90.0,6,2,3,1,0,0,0,1
9964,22,2,87.78,10,21,4,3,0,0,3,1
9965,12,0,131.0,4,25,4,0,1,0,0,0
9966,54,2,85.5,9,15,4,1,0,0,0,1
9967,38,0,108.11,5,23,4,3,1,3,0,0
9968,56,2,177.3,7,19,4,2,0,5,0,1
9969,66,1,126.9,6,9,4,3,1,0,0,1
9970,202,0,109.8,10,22,4,1,2,3,0,0
9971,156,0,112.2,8,20,4,2,2,3,0,0
9972,75,0,80.75,6,26,3,1,2,0,0,1
9973,85,0,94.5,7,17,4,2,2,0,3,0
9974,59,0,177.93,4,26,4,5,1,5,0,0
9975,10,0,89.3,1,14,4,1,0,0,0,1
9976,76,1,207.9,9,4,4,0,2,5,0,0
9977,140,0,89.75,4,16,3,5,2,0,0,1
9978,26,3,170.0,11,11,4,1,0,3,0,1
9979,77,0,89.25,9,18,4,2,2,0,0,1
9980,29,1,67.5,11,16,3,3,0,0,0,1
9981,45,2,94.5,10,22,4,3,0,0,0,1
9982,49,1,94.5,10,23,4,6,2,0,0,1
9983,25,1,105.0,9,5,4,1,0,0,0,0
9984,15,1,165.0,9,1,4,5,0,5,0,0
9985,129,1,127.8,8,11,4,3,2,3,0,1
9986,5,0,137.67,6,2,4,3,0,0,0,0
9987,44,1,60.0,11,11,3,3,0,3,0,1
9988,127,1,146.92,10,2,4,3,2,5,0,1
9989,43,0,86.61,2,17,4,3,0,4,0,0
9990,11,0,95.0,10,11,2,1,2,0,0,1
9991,186,1,96.9,7,22,3,2,2,0,0,1
9992,37,0,94.5,9,16,4,2,0,0,0,1
9993,99,1,135.9,5,19,4,1,0,0,0,0
9994,49,2,159.3,5,7,4,1,1,3,0,1
9995,156,1,128.7,8,28,4,2,2,3,0,0
9996,0,0,66.0,1,6,2,1,0,0,0,1
9997,51,1,99.0,9,5,4,0,1,0,3,1
9998,14,1,109.0,8,17,4,1,0,0,3,0
9999,0,0,131.0,4,30,4,1,0,0,0,1
10000,70,1,72.9,2,26,4,2,0,0,0,0
10001,12,1,134.1,9,23,4,2,1,0,3,1
10002,172,1,70.85,7,22,4,6,2,0,0,1
10003,60,0,75.48,6,21,3,3,0,0,0,1
10004,69,1,135.9,5,10,4,1,0,0,0,1
10005,95,0,120.0,6,14,3,3,0,0,0,0
10006,199,0,106.0,9,12,2,2,1,4,0,0
10007,51,0,123.3,3,30,4,3,0,3,0,1
10008,14,0,80.09,1,20,4,14,5,0,0,1
10009,160,0,138.55,8,8,4,5,2,3,0,0
10010,19,0,111.4,4,11,4,4,1,0,3,0
10011,65,0,87.0,12,18,2,0,1,0,0,1
10012,17,2,124.0,9,17,4,2,0,0,0,1
10013,1,1,114.0,10,14,4,1,0,0,3,1
10014,17,1,198.9,5,13,4,2,0,5,0,0
10015,6,0,127.0,9,11,4,2,1,0,0,0
10016,113,1,96.3,4,15,4,2,0,0,0,1
10017,71,1,86.25,6,28,4,3,0,0,0,1
10018,97,0,76.5,8,11,4,2,0,0,0,0
10019,107,1,76.5,8,21,4,2,1,0,0,0
10020,0,2,121.0,7,29,4,1,0,0,0,1
10021,104,2,123.3,7,21,4,3,1,3,0,1
10022,63,1,85.0,11,12,4,3,1,0,0,1
10023,5,0,75.0,8,12,3,1,0,0,0,1
10024,14,0,132.0,4,4,4,10,4,3,0,0
10025,34,2,120.7,12,3,4,6,2,0,1,1
10026,17,1,70.0,3,17,2,2,0,0,0,1
10027,179,2,150.45,9,8,4,3,0,3,0,0
10028,49,0,76.5,9,2,3,3,0,0,0,1
10029,57,1,66.53,9,19,4,3,2,0,3,1
10030,129,0,62.0,2,4,3,3,0,3,0,1
10031,1,0,139.0,8,20,4,1,1,0,3,1
10032,14,0,87.0,2,24,3,3,0,0,0,1
10033,7,2,296.0,5,19,4,2,0,6,0,1
10034,3,0,110.0,10,23,0,1,2,3,0,1
10035,186,1,111.76,7,28,4,3,2,3,0,0
10036,12,1,202.88,10,29,4,2,2,5,0,0
10037,81,0,85.5,4,10,4,0,2,0,3,0
10038,0,0,65.0,10,27,2,2,0,0,0,1
10039,141,1,109.8,6,30,4,3,0,3,0,0
10040,43,0,152.1,8,22,4,4,1,0,0,1
10041,91,0,198.9,5,13,4,2,1,5,0,0
10042,10,0,107.0,5,21,3,1,1,3,0,1
10043,121,1,103.5,7,7,4,3,2,0,3,1
10044,213,0,109.66,8,13,4,5,2,3,0,0
10045,74,0,127.8,7,9,4,1,0,3,0,0
10046,0,0,0.0,9,1,1,1,0,0,0,1
10047,193,0,95.2,8,26,4,2,2,0,0,0
10048,1,1,127.0,6,27,4,0,1,0,3,1
10049,58,1,80.67,1,27,3,3,0,0,0,1
10050,133,3,151.2,10,10,4,0,1,3,0,1
10051,79,0,139.5,7,11,4,4,1,3,0,1
10052,27,1,97.92,10,13,4,4,0,0,0,1
10053,204,0,133.2,12,31,4,1,1,3,0,1
10054,45,1,112.8,4,17,4,1,2,3,0,0
10055,20,1,93.17,6,14,4,2,0,0,0,1
10056,203,1,95.4,6,6,4,1,1,0,3,1
10057,79,1,88.4,12,7,4,4,0,0,0,1
10058,36,1,55.09,12,10,4,2,0,0,3,1
10059,67,2,79.2,11,12,4,1,2,0,3,1
10060,55,1,93.6,11,25,4,1,0,0,0,1
10061,0,0,139.0,6,7,4,1,0,3,0,0
10062,51,1,75.0,11,12,3,2,2,0,0,1
10063,96,0,60.0,3,6,3,3,2,0,0,1
10064,35,1,121.28,9,25,4,2,2,0,0,1
10065,54,0,159.3,6,4,4,1,0,3,0,0
10066,180,2,51.28,11,13,4,0,1,0,3,1
10067,2,1,85.03,2,11,4,3,0,1,0,0
10068,155,1,96.3,6,26,4,1,2,0,0,1
10069,4,2,97.0,1,2,4,1,1,0,0,1
10070,12,2,110.0,9,12,3,13,5,0,0,0
10071,2,0,65.0,7,29,2,1,0,0,0,1
10072,24,0,72.8,2,22,3,2,1,0,0,0
10073,37,1,134.1,6,17,3,2,0,4,1,1
10074,20,1,100.1,11,6,4,0,1,3,0,1
10075,63,0,68.85,7,8,4,8,2,0,3,0
10076,192,0,110.0,6,24,3,2,0,0,0,0
10077,1,0,149.0,5,23,4,0,1,0,3,1
10078,130,0,96.9,7,26,3,3,0,0,0,1
10079,213,1,127.5,8,26,3,2,1,5,0,0
10080,146,1,123.3,8,11,4,2,0,0,0,1
10081,6,0,89.0,11,4,4,1,0,0,0,1
10082,40,0,90.27,10,21,4,4,0,0,1,1
10083,84,2,80.75,10,21,3,2,1,0,0,1
10084,21,1,85.0,2,17,4,1,0,0,0,1
10085,1,1,149.0,9,1,4,1,0,0,3,1
10086,65,1,113.4,12,30,4,2,0,0,0,1
10087,51,0,159.3,5,7,4,1,2,3,0,0
10088,0,0,91.0,2,18,4,1,0,0,0,1
10089,7,0,93.0,2,10,4,4,0,0,0,1
10090,126,1,134.18,7,18,4,5,2,0,1,1
10091,48,1,86.3,2,27,4,1,2,0,0,1
10092,9,3,96.0,8,28,2,7,4,0,0,1
10093,136,0,80.75,9,4,3,2,2,0,0,1
10094,146,1,85.5,6,27,4,1,1,0,3,0
10095,10,1,111.35,5,31,4,3,0,0,0,1
10096,19,0,150.0,11,7,4,1,1,0,0,0
10097,69,1,97.33,9,4,4,4,2,0,0,0
10098,75,1,76.5,10,31,4,2,2,0,0,0
10099,107,0,79.22,10,23,3,2,2,0,0,1
10100,164,0,82.28,10,4,3,5,2,0,0,1
10101,124,0,96.3,4,29,4,2,0,0,0,0
10102,16,0,75.99,12,7,4,8,2,0,3,1
10103,41,0,66.29,2,28,3,5,2,0,0,1
10104,68,0,121.5,5,10,4,3,0,0,0,0
10105,12,0,107.0,10,4,3,0,2,0,1,1
10106,5,0,144.0,7,1,4,1,0,3,0,1
10107,3,1,139.0,7,9,4,1,0,0,3,1
10108,82,1,80.0,5,2,3,1,1,0,0,1
10109,127,1,96.3,6,27,4,1,1,0,0,1
10110,147,1,124.0,6,2,3,3,0,0,0,0
10111,31,0,81.9,3,14,4,1,1,1,0,1
10112,46,1,98.3,3,4,4,2,1,3,0,1
10113,128,0,79.2,11,26,4,1,1,0,3,0
10114,47,2,120.95,1,20,4,4,1,4,0,1
10115,41,0,114.3,3,12,4,1,2,3,0,1
10116,48,0,43.5,11,10,3,4,0,0,0,1
10117,4,0,149.0,9,5,4,1,1,0,3,0
10118,77,1,123.45,4,30,4,3,2,0,0,1
10119,12,2,125.0,8,20,4,3,0,0,0,1
10120,0,0,84.0,11,12,2,1,0,0,0,1
10121,20,1,88.0,12,8,4,1,0,0,3,1
10122,85,3,90.9,10,26,4,1,0,0,0,1
10123,71,0,198.9,4,29,4,2,1,5,0,0
10124,7,1,79.0,2,12,4,2,0,0,3,1
10125,140,1,113.5,3,26,4,4,2,3,0,1
10126,4,0,62.0,3,18,3,1,0,0,0,1
10127,188,0,80.75,9,26,3,3,1,0,0,1
10128,175,0,162.9,10,28,4,2,2,5,0,0
10129,11,0,157.67,12,29,3,3,0,4,0,1
10130,157,0,112.0,7,14,3,3,0,0,0,0
10131,19,0,114.0,5,7,4,1,1,0,3,0
10132,212,0,88.4,12,29,4,4,2,0,0,0
10133,19,0,69.0,12,5,4,2,2,0,0,1
10134,1,2,120.0,12,25,4,0,2,5,0,1
10135,18,0,54.0,1,2,3,1,0,0,0,1
10136,16,0,86.0,2,6,2,1,0,4,0,1
10137,66,3,177.66,9,4,4,3,2,5,0,1
10138,73,0,107.1,4,7,4,3,2,3,0,0
10139,103,0,116.1,6,15,4,1,0,0,3,0
10140,61,1,91.0,10,4,3,0,2,0,0,1
10141,171,0,111.59,8,30,4,5,2,0,0,0
10142,82,1,140.4,6,10,4,2,0,3,0,1
10143,13,0,65.0,11,29,2,1,0,0,0,1
10144,40,2,152.33,3,24,4,3,1,3,0,1
10145,82,2,146.7,7,1,4,4,2,3,0,1
10146,24,0,99.5,9,7,3,2,1,0,0,1
10147,197,1,112.0,8,18,3,3,0,0,0,0
10148,16,0,109.33,3,3,4,3,0,3,0,0
10149,2,1,78.5,1,16,4,1,0,0,3,1
10150,58,0,140.4,6,1,4,3,0,3,0,0
10151,57,0,314.1,12,30,4,2,1,3,1,1
10152,29,1,99.49,4,15,4,7,3,0,0,0
10153,353,0,73.74,12,29,4,3,1,1,0,0
10154,132,1,104.55,3,21,3,5,2,4,0,1
10155,21,2,105.0,9,3,4,3,0,0,0,1
10156,88,1,58.68,2,13,4,6,2,0,0,1
10157,10,4,134.5,10,7,4,2,2,0,3,1
10158,64,0,116.1,5,21,4,1,1,0,3,0
10159,160,0,70.67,12,30,3,3,0,0,0,1
10160,18,1,129.0,4,2,4,1,0,0,3,1
10161,97,1,150.3,8,5,4,2,1,3,0,1
10162,9,0,145.0,10,7,4,3,0,0,0,1
10163,13,0,96.0,12,5,4,0,1,0,0,1
10164,13,0,79.0,7,11,2,1,1,0,0,1
10165,43,0,68.0,11,1,3,5,0,0,0,1
10166,45,0,167.4,12,30,4,1,0,3,0,0
10167,0,0,160.0,9,25,4,0,1,0,3,1
10168,18,1,97.0,3,18,4,2,0,0,3,0
10169,110,0,108.3,7,11,4,2,1,0,0,1
10170,8,2,179.0,10,7,4,2,2,3,0,1
10171,11,1,143.86,8,13,4,5,2,0,0,1
10172,125,0,68.0,7,18,3,5,2,0,1,1
10173,133,0,126.0,7,11,4,1,1,0,0,1
10174,32,1,99.0,9,25,4,1,2,0,3,1
10175,2,1,81.75,5,15,3,2,2,0,0,1
10176,47,2,95.48,10,15,4,3,2,3,0,1
10177,7,1,101.45,8,24,4,4,0,3,0,0
10178,141,0,77.62,8,22,4,2,1,0,0,1
10179,86,1,80.75,4,9,3,2,2,0,0,1
10180,14,1,118.0,2,22,3,3,1,0,0,1
10181,98,2,212.4,8,12,4,5,2,3,1,0
10182,78,2,114.9,12,27,4,3,0,3,0,1
10183,86,1,93.08,4,6,4,4,0,3,0,1
10184,61,0,35.2,10,4,4,0,2,0,1,0
10185,92,2,125.1,9,19,4,0,1,0,3,1
10186,157,0,132.3,10,1,4,5,2,3,0,0
10187,50,1,58.94,1,24,4,3,2,0,0,1
10188,7,1,91.0,5,21,3,1,1,0,1,1
10189,61,0,118.8,4,7,4,3,0,3,0,1
10190,126,0,140.27,8,1,4,5,2,3,0,0
10191,0,0,65.0,4,20,2,1,0,0,0,1
10192,185,0,90.95,7,18,4,5,2,0,0,0
10193,33,1,113.0,11,26,4,1,0,0,0,1
10194,15,2,85.0,11,1,4,4,0,0,3,1
10195,8,0,89.2,1,2,4,4,2,0,0,1
10196,2,0,65.0,9,9,2,1,0,0,0,1
10197,35,2,119.0,8,30,4,4,0,0,0,1
10198,115,0,146.7,8,6,4,1,0,3,0,0
10199,106,0,94.5,7,15,4,1,0,0,3,0
10200,2,1,126.0,9,30,4,2,0,0,0,1
10201,61,0,121.5,7,23,4,1,1,0,0,0
10202,184,0,125.1,10,4,4,3,0,0,0,0
10203,75,0,67.83,10,20,3,5,1,1,0,1
10204,33,0,143.94,9,1,4,5,2,4,1,1
10205,290,1,89.5,6,17,3,2,1,0,0,1
10206,21,0,112.67,2,27,4,1,2,3,0,0
10207,53,1,91.48,3,6,4,0,1,3,0,1
10208,121,0,79.2,11,14,4,2,1,0,3,0
10209,69,0,60.0,12,3,3,3,0,3,0,1
10210,0,0,90.0,5,13,3,2,0,0,0,1
10211,9,0,86.25,1,17,4,0,2,1,0,1
10212,24,1,95.48,9,22,4,3,0,0,0,1
10213,43,0,0.0,10,23,4,1,0,0,0,1
10214,28,1,163.0,9,28,4,2,0,3,0,1
10215,4,1,156.67,3,24,4,3,0,0,0,1
10216,153,2,118.8,10,17,4,3,1,0,0,0
10217,34,0,98.1,6,19,4,1,2,0,3,0
10218,143,0,129.6,9,22,4,3,1,0,0,0
10219,167,0,130.05,8,12,4,2,2,0,0,0
10220,21,0,299.33,7,17,4,1,2,6,0,0
10221,14,1,69.5,1,23,4,1,1,0,3,1
10222,62,0,140.4,5,7,4,1,0,3,0,0
10223,115,0,89.25,9,10,4,3,1,0,0,1
10224,41,3,120.0,10,28,4,1,0,0,0,1
10225,64,0,161.1,8,8,4,1,1,3,0,1
10226,34,1,94.95,9,13,4,4,2,0,3,1
10227,33,0,143.1,5,1,4,2,2,0,0,0
10228,50,2,69.57,2,22,4,4,1,0,0,1
10229,11,2,141.95,6,1,4,2,0,3,0,1
10230,16,0,85.0,2,6,4,1,1,0,0,0
10231,38,1,103.87,11,26,4,1,2,0,1,1
10232,16,0,129.0,6,17,4,2,1,0,3,0
10233,133,0,108.0,10,2,4,1,2,0,3,0
10234,21,1,109.6,10,31,4,4,1,0,0,1
10235,6,1,159.0,9,15,4,2,0,0,0,0
10236,99,2,150.3,8,8,4,1,1,3,0,1
10237,232,1,104.13,8,29,4,10,4,3,0,0
10238,2,1,0.0,1,27,1,1,0,0,0,1
10239,4,1,169.0,10,25,4,2,0,0,0,1
10240,137,2,77.0,2,7,3,1,2,3,0,1
10241,78,0,100.0,5,19,3,3,1,0,0,1
10242,2,0,147.0,3,31,4,2,0,3,0,1
10243,26,1,151.0,7,2,4,1,1,0,0,0
10244,3,2,102.0,3,3,4,3,2,0,0,1
10245,48,0,112.88,10,25,3,3,2,1,1,1
10246,175,1,90.95,7,15,4,2,2,0,0,1
10247,28,0,120.0,11,2,4,1,0,0,3,1
10248,10,0,85.0,8,31,3,5,2,0,0,1
10249,228,2,90.95,10,17,4,3,1,0,0,0
10250,72,2,119.0,12,20,4,4,0,3,0,1
10251,247,0,63.75,11,19,4,3,2,0,3,0
10252,7,1,89.59,11,27,4,3,2,0,0,1
10253,228,1,73.6,6,4,4,1,0,0,0,0
10254,51,1,93.0,12,25,4,3,2,0,0,1
10255,52,3,99.0,8,28,4,0,1,0,3,1
10256,86,1,94.5,4,10,4,1,2,0,3,0
10257,40,0,185.28,12,30,4,2,2,3,0,0
10258,96,1,132.6,5,12,4,3,2,3,0,0
10259,48,1,126.0,10,17,4,2,1,0,3,0
10260,243,0,65.29,9,1,4,3,0,0,0,0
10261,0,0,91.0,2,25,4,2,0,0,0,0
10262,15,1,85.55,2,29,4,3,1,3,0,1
10263,97,2,68.65,10,19,4,2,1,1,0,1
10264,258,0,110.0,10,16,4,0,1,0,0,0
10265,127,0,105.3,5,22,4,1,2,0,0,0
10266,66,0,111.92,12,31,4,3,2,0,0,1
10267,163,0,159.3,9,23,4,1,0,3,0,0
10268,156,1,104.32,10,26,4,9,2,3,0,0
10269,26,2,100.0,11,2,4,3,0,0,3,1
10270,12,2,129.0,2,14,4,3,2,0,1,1
10271,2,1,98.0,1,22,4,2,0,0,0,1
10272,125,1,187.85,6,3,4,2,2,5,0,1
10273,192,1,121.5,8,9,4,3,0,0,0,0
10274,18,1,92.4,6,13,4,4,1,0,0,1
10275,1,0,91.0,2,24,4,1,0,0,0,1
10276,50,1,156.9,12,3,4,3,2,5,0,1
10277,101,2,122.0,12,21,4,5,2,0,0,0
10278,59,0,75.0,11,11,3,2,0,0,0,1
10279,0,0,69.99,4,20,4,1,0,0,0,1
10280,12,0,77.0,1,15,4,2,2,0,3,1
10281,159,0,85.5,8,26,4,1,0,0,3,0
10282,158,0,114.3,7,7,4,3,0,0,0,0
10283,67,2,95.4,12,5,4,1,2,0,3,1
10284,24,2,89.0,1,12,4,4,0,0,0,1
10285,47,1,114.33,4,12,4,4,0,3,0,1
10286,6,2,164.2,11,6,4,3,2,0,0,1
10287,62,2,159.3,5,7,4,1,0,3,0,1
10288,11,2,129.0,2,5,4,2,0,3,0,1
10289,92,1,76.5,7,31,4,1,0,0,0,0
10290,9,0,156.0,5,5,4,1,0,3,0,0
10291,15,1,89.0,6,23,4,1,0,0,3,0
10292,4,0,87.2,8,1,4,0,1,0,3,1
10293,3,0,66.0,1,18,2,2,1,0,0,1
10294,34,0,117.0,9,26,4,0,1,0,0,1
10295,40,1,104.85,10,19,4,5,1,0,0,1
10296,43,2,88.0,12,25,4,1,2,0,3,1
10297,5,1,166.5,9,17,4,2,2,0,0,0
10298,101,0,102.25,7,4,3,3,1,0,1,1
10299,33,1,110.0,11,11,4,2,0,0,3,1
10300,60,0,123.3,9,2,4,2,0,3,0,0
10301,147,1,138.55,8,11,4,5,2,3,0,1
10302,51,0,121.2,9,24,3,3,0,0,0,1
10303,55,1,60.0,1,31,3,1,2,0,0,1
10304,278,0,94.95,7,16,4,1,2,1,0,0
10305,115,1,114.36,9,29,4,5,2,1,0,1
10306,60,0,74.8,12,23,4,2,2,0,3,0
10307,3,0,67.0,7,21,2,1,0,0,0,1
10308,2,1,102.0,2,12,3,2,2,0,0,1
10309,60,0,130.9,12,23,4,2,2,3,0,0
10310,287,1,90.95,10,19,4,4,1,0,0,1
10311,187,1,99.45,8,6,4,6,4,0,0,0
10312,16,0,117.0,4,22,4,1,0,0,0,0
10313,0,1,200.0,9,17,4,1,0,3,0,0
10314,100,0,80.1,4,25,4,2,1,0,3,1
10315,42,0,74.88,11,25,4,2,0,0,0,1
10316,1,0,114.0,9,9,4,2,0,0,0,1
10317,73,0,126.9,5,7,4,1,0,0,0,0
10318,70,0,121.5,8,31,4,2,0,0,0,0
10319,23,0,96.3,10,9,3,1,0,3,0,1
10320,17,0,208.0,12,31,4,1,0,5,0,1
10321,51,1,75.6,9,16,3,5,2,0,0,1
10322,16,2,100.0,3,9,4,4,0,0,0,1
10323,35,1,79.2,11,22,4,1,0,0,3,1
10324,205,0,80.24,6,20,3,5,2,0,0,0
10325,64,0,94.5,4,12,4,3,0,0,3,0
10326,0,0,80.1,3,30,4,1,0,0,3,1
10327,54,1,104.4,3,31,4,3,0,3,0,1
10328,4,1,121.0,8,2,4,1,0,0,0,1
10329,52,1,120.6,10,28,4,2,2,3,0,1
10330,54,0,187.85,4,29,4,4,2,5,0,0
10331,17,0,88.0,12,16,4,2,0,0,3,1
10332,2,0,0.0,9,25,4,0,0,0,0,1
10333,123,1,151.43,11,6,4,2,2,0,0,1
10334,14,2,97.02,10,15,4,2,0,0,0,1
10335,65,0,94.5,3,18,4,2,0,0,3,0
10336,50,1,97.2,11,11,4,2,0,0,0,1
10337,97,1,74.8,11,27,4,2,2,0,3,0
10338,49,0,74.8,11,19,4,5,2,0,3,0
